FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
0.0875159,0.0731169,0.13686,10.18295,2.66167,-3.0,-1.0,13.78603,11.04044,12.95887,50.289,-0.3,4.289,1.30917,-9,KN
0.00346035,0.000674942,0.43548,3.6883,3.68674,-3.0,-1.0,22.92616,7.97945,27.11661,-4.703,1.5,-3.703,1.4,0,KN
2.84348e-05,0.00102131,0.0249116,11.67107,10.97639,2.5,-1.0,32.83357,17.54466,24.26991,38.242,-0.5,-18.758,1.22423,0,KN
0.00140431,0.99338,0.0111136,56.08552,43.66216,2.5,-0.2,19.72985,16.544,0.46395,35.247,1.1,-16.753,0.0800027,2,KN
0.54852,0.68605,0.50854,16.9818,5.51415,-3.0,-0.7,6.89022,7.26303,5.6529,-20.762,0.1,-20.762,1.33877,0,CC
3.36111e-06,4.07489e-05,0.0244701,18.22515,12.9096,-3.0,-1.0,37.76311,16.07161,31.99234,39.297,1.5,48.297,0.0684111,0,KN
0.93425,0.94403,0.9429,12.29955,3.50546,2.5,-0.3,3.00171,2.85892,2.83936,3.297,1.5,-8.703,0.37426,0,CC
0.94122,0.89396,0.96302,48.00596,26.41078,2.15625,0.8,1.74972,1.44565,2.26331,39.238,0.5,37.238,0.0935584,0,CC
0.38638,0.59621,0.62867,40.96934,35.52427,2.5,0.2,7.42123,5.25666,5.52463,-16.759,0.1,-17.759,0.17894,0,KN
0.85383,0.62674,0.95273,21.87156,15.51828,-1.28125,0.8,3.32078,2.12278,5.27257,45.255,1.1,14.255,0.0611746,0,KN
0.99877,0.99757,0.99996,24.55227,10.75635,-1.625,0.1,2.30696,1.20418,2.6455,10.276,0.3,12.276,0.0836618,0,Ia
0.9827,0.99359,0.98377,12.82755,10.46459,2.5,0.8,1.07279,1.04697,0.73971,-12.779,1.5,-13.779,0.10231,0,CC
0.0529511,0.0120055,0.28269,10.72673,6.2755,-3.0,-1.0,16.73974,10.89902,21.14888,4.238,-0.5,7.238,1.25191,0,KN
3.53755e-09,2.8812e-08,0.00251673,34.89558,26.10937,-3.0,-0.9,53.10299,22.02359,48.47013,47.297,0.7,48.297,0.0699581,0,KN
0.0499941,0.0419325,0.92294,16.79092,16.07,-3.0,-1.0,11.0708,1.41247,11.52357,50.238,0.9,50.238,0.0978374,0,KN
0.99157,0.98531,0.87361,22.68401,8.12745,-2.3125,0.7,3.43933,6.75112,3.89194,-17.724,-0.3,-17.724,0.18712,0,KN
0.99997,0.88248,1.0,123.10665,114.54742,1.8125,0.0,0.34787,0.0214574,3.70777,-3.758,0.7,12.242,0.0478353,0,Ia
0.98417,0.96265,0.99157,8.49082,3.47321,-2.65625,-1.0,1.89112,1.56549,2.48008,10.277,1.5,10.277,0.55972,0,CC
0.99899,0.99024,0.78555,77.0782,69.57083,2.5,0.7,1.83859,7.16518,3.03603,-16.724,-0.5,-14.724,0.117,-9,CC
0.76622,0.87999,0.88869,24.69075,11.28424,2.5,0.7,4.91879,3.63222,3.73757,-6.711,0.9,45.289,0.12512,0,CC
3.5781e-08,1.41383e-08,0.00334623,41.88115,30.7504,-3.0,-0.9,47.98911,21.30332,50.04745,46.241,1.3,46.241,0.0782336,0,KN
0.9971,0.87965,0.99737,29.16364,9.88398,1.125,-0.2,0.83201,0.80749,3.05729,5.251,-0.5,8.251,0.66936,0,Ia
0.000550216,0.0758004,0.0930566,35.23824,14.08362,-3.0,-0.3,23.87682,10.8521,9.98012,50.286,0.5,50.286,0.0500232,0,KN
0.99903,0.99947,0.99988,15.37186,9.20744,2.15625,-1.0,0.37696,0.18152,0.30637,7.297,1.1,-9.703,0.33467,0,Ia
1.10154e-13,1.11519e-13,0.00010346,15.14009,8.52952,2.5,-1.0,75.56415,29.79688,75.53782,49.242,-0.5,49.242,1.30917,0,KN
0.22561,0.21543,0.35504,11.16376,6.79289,-3.0,0.9,14.135,12.11527,14.3268,19.276,0.1,12.276,0.13992,0,CC
0.000634231,0.00317393,0.0807344,23.73635,21.34788,-3.0,-0.6,29.05545,16.7225,24.8225,41.203,0.5,49.203,0.0699581,0,KN
2.68289e-21,7.49491e-23,1.7097e-09,13.3923,7.35171,2.5,-0.9,126.81724,66.09469,134.55576,50.22,-0.5,50.22,1.30917,0,KN
0.91102,0.8969,0.94389,4.0616,2.61663,-3.0,1.0,3.34314,2.8418,3.52938,13.241,-0.3,19.241,0.32727,0,CC
0.13713,0.0410285,0.90753,7.81117,2.57007,-3.0,-1.0,8.36717,1.54748,11.57939,-14.746,1.5,-4.746,1.36904,0,KN
0.17209,0.0107181,0.84957,13.75299,11.18781,-3.0,-1.0,7.72436,1.99694,14.9181,3.238,0.9,17.238,0.0818118,0,KN
0.78778,0.00371885,1.0,326.33722,246.12614,1.125,0.2,4.71289,0.14889,21.03489,-15.758,-0.5,-15.758,0.0668984,0,Ia
0.48898,0.94722,0.94819,61.95944,22.24009,0.09375,-0.2,10.46644,4.61949,4.64293,-8.727,0.9,25.273,0.13992,0,CC
0.5454,0.22658,0.74203,6.8012,1.2663,-3.0,-0.1,7.88873,5.97885,11.77021,1.276,1.5,13.276,0.10463,0,KN
0.86305,0.90635,0.96115,16.42169,9.29041,2.5,-0.4,3.93374,2.51246,3.40621,5.242,1.5,-11.758,0.17111,0,CC
0.55008,0.2525,0.73102,9.89537,3.06663,-3.0,-0.9,5.9118,5.24567,9.0022,42.299,-0.5,16.299,1.30917,1,KN
0.0049069,0.00114031,0.13908,8.98012,2.61207,-3.0,-0.9,20.32602,10.98947,23.99792,-3.701,1.5,13.299,1.4,0,KN
0.99525,0.98722,0.99998,22.58855,10.95102,-3.0,1.0,0.66319,0.0978288,0.95622,29.241,1.5,1.241,0.07154,0,CC
0.55094,0.18502,0.91126,47.64759,17.91888,-1.625,-0.1,6.86803,3.33982,11.30484,11.238,0.5,8.238,0.18299,0,Ia
5.38385e-16,1.93779e-16,3.74853e-05,12.23577,10.49589,2.5,-0.9,92.39266,36.13714,94.59785,2.238,-0.5,16.238,1.33877,0,KN
0.00485098,0.00180083,0.0787148,9.32399,8.25346,-3.0,-1.0,23.67208,15.47389,26.33427,3.203,0.3,49.203,1.4,0,KN
0.0621801,9.86809e-05,0.72439,17.47942,3.00746,2.5,-1.0,14.84747,5.30632,31.85986,-18.724,0.1,47.276,0.095674,0,KN
0.00230083,0.000108766,0.0856159,7.46628,5.99035,-3.0,-0.8,20.45129,11.09061,27.66232,1.241,0.1,27.241,0.26169,0,KN
0.16425,0.78009,0.22929,12.55425,12.44126,-3.0,-1.0,10.45434,10.5377,3.99733,-0.759,0.7,46.241,1.30917,2,KN
2.30958e-21,1.14902e-21,8.40697e-06,15.50598,13.49421,2.5,-0.8,115.91349,37.74034,117.38414,50.241,-0.5,50.241,0.22884,0,KN
